LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
USA,HUR,TOT,PC_LF,M,Dec-99,4,
USA,HUR,TOT,PC_LF,M,Jan-00,4,
USA,HUR,TOT,PC_LF,M,Feb-00,4.1,
USA,HUR,TOT,PC_LF,M,Mar-00,4,
USA,HUR,TOT,PC_LF,M,Apr-00,3.8,
USA,HUR,TOT,PC_LF,M,May-00,4,
USA,HUR,TOT,PC_LF,M,Jun-00,4,
USA,HUR,TOT,PC_LF,M,Jul-00,4,
USA,HUR,TOT,PC_LF,M,Aug-00,4.1,
USA,HUR,TOT,PC_LF,M,Sep-00,3.9,
USA,HUR,TOT,PC_LF,M,Oct-00,3.9,
USA,HUR,TOT,PC_LF,M,Nov-00,3.9,
USA,HUR,TOT,PC_LF,M,Dec-00,3.9,
USA,HUR,TOT,PC_LF,M,Jan-01,4.2,
USA,HUR,TOT,PC_LF,M,Feb-01,4.2,
USA,HUR,TOT,PC_LF,M,Mar-01,4.3,
USA,HUR,TOT,PC_LF,M,Apr-01,4.4,
USA,HUR,TOT,PC_LF,M,May-01,4.3,
USA,HUR,TOT,PC_LF,M,Jun-01,4.5,
USA,HUR,TOT,PC_LF,M,Jul-01,4.6,
USA,HUR,TOT,PC_LF,M,Aug-01,4.9,
USA,HUR,TOT,PC_LF,M,Sep-01,5,
USA,HUR,TOT,PC_LF,M,Oct-01,5.3,
USA,HUR,TOT,PC_LF,M,Nov-01,5.5,
USA,HUR,TOT,PC_LF,M,Dec-01,5.7,
USA,HUR,TOT,PC_LF,M,Jan-02,5.7,
USA,HUR,TOT,PC_LF,M,Feb-02,5.7,
USA,HUR,TOT,PC_LF,M,Mar-02,5.7,
USA,HUR,TOT,PC_LF,M,Apr-02,5.9,
USA,HUR,TOT,PC_LF,M,May-02,5.8,
USA,HUR,TOT,PC_LF,M,Jun-02,5.8,
USA,HUR,TOT,PC_LF,M,Jul-02,5.8,
USA,HUR,TOT,PC_LF,M,Aug-02,5.7,
USA,HUR,TOT,PC_LF,M,Sep-02,5.7,
USA,HUR,TOT,PC_LF,M,Oct-02,5.7,
USA,HUR,TOT,PC_LF,M,Nov-02,5.9,
USA,HUR,TOT,PC_LF,M,Dec-02,6,
USA,HUR,TOT,PC_LF,M,Jan-03,5.8,
USA,HUR,TOT,PC_LF,M,Feb-03,5.9,
USA,HUR,TOT,PC_LF,M,Mar-03,5.9,
USA,HUR,TOT,PC_LF,M,Apr-03,6,
USA,HUR,TOT,PC_LF,M,May-03,6.1,
USA,HUR,TOT,PC_LF,M,Jun-03,6.3,
USA,HUR,TOT,PC_LF,M,Jul-03,6.2,
USA,HUR,TOT,PC_LF,M,Aug-03,6.1,
USA,HUR,TOT,PC_LF,M,Sep-03,6.1,
USA,HUR,TOT,PC_LF,M,Oct-03,6,
USA,HUR,TOT,PC_LF,M,Nov-03,5.8,
USA,HUR,TOT,PC_LF,M,Dec-03,5.7,
USA,HUR,TOT,PC_LF,M,Jan-04,5.7,
USA,HUR,TOT,PC_LF,M,Feb-04,5.6,
USA,HUR,TOT,PC_LF,M,Mar-04,5.8,
USA,HUR,TOT,PC_LF,M,Apr-04,5.6,
USA,HUR,TOT,PC_LF,M,May-04,5.6,
USA,HUR,TOT,PC_LF,M,Jun-04,5.6,
USA,HUR,TOT,PC_LF,M,Jul-04,5.5,
USA,HUR,TOT,PC_LF,M,Aug-04,5.4,
USA,HUR,TOT,PC_LF,M,Sep-04,5.4,
USA,HUR,TOT,PC_LF,M,Oct-04,5.5,
USA,HUR,TOT,PC_LF,M,Nov-04,5.4,
USA,HUR,TOT,PC_LF,M,Dec-04,5.4,
USA,HUR,TOT,PC_LF,M,Jan-05,5.3,
USA,HUR,TOT,PC_LF,M,Feb-05,5.4,
USA,HUR,TOT,PC_LF,M,Mar-05,5.2,
USA,HUR,TOT,PC_LF,M,Apr-05,5.2,
USA,HUR,TOT,PC_LF,M,May-05,5.1,
USA,HUR,TOT,PC_LF,M,Jun-05,5,
USA,HUR,TOT,PC_LF,M,Jul-05,5,
USA,HUR,TOT,PC_LF,M,Aug-05,4.9,
USA,HUR,TOT,PC_LF,M,Sep-05,5,
USA,HUR,TOT,PC_LF,M,Oct-05,5,
USA,HUR,TOT,PC_LF,M,Nov-05,5,
USA,HUR,TOT,PC_LF,M,Dec-05,4.9,
USA,HUR,TOT,PC_LF,M,Jan-06,4.7,
USA,HUR,TOT,PC_LF,M,Feb-06,4.8,
USA,HUR,TOT,PC_LF,M,Mar-06,4.7,
USA,HUR,TOT,PC_LF,M,Apr-06,4.7,
USA,HUR,TOT,PC_LF,M,May-06,4.6,
USA,HUR,TOT,PC_LF,M,Jun-06,4.6,
USA,HUR,TOT,PC_LF,M,Jul-06,4.7,
USA,HUR,TOT,PC_LF,M,Aug-06,4.7,
USA,HUR,TOT,PC_LF,M,Sep-06,4.5,
USA,HUR,TOT,PC_LF,M,Oct-06,4.4,
USA,HUR,TOT,PC_LF,M,Nov-06,4.5,
USA,HUR,TOT,PC_LF,M,Dec-06,4.4,
USA,HUR,TOT,PC_LF,M,Jan-07,4.6,
USA,HUR,TOT,PC_LF,M,Feb-07,4.5,
